,X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
233,-8.69E+00,-1.16E-01,4.74E+00,2.95E+02
234,-8.90E+00,-1.23E-01,4.87E+00,2.95E+02
235,-9.00E+00,-1.15E-01,4.94E+00,2.95E+02
236,-9.19E+00,-7.33E-02,5.09E+00,2.95E+02
237,-9.25E+00,-5.16E-02,5.13E+00,2.95E+02
238,-9.36E+00,8.70E-03,5.24E+00,2.95E+02
239,-9.54E+00,1.25E-01,5.41E+00,2.95E+02
240,-9.61E+00,1.84E-01,5.49E+00,2.95E+02
241,-9.79E+00,3.13E-01,5.70E+00,2.95E+02
242,-9.82E+00,3.32E-01,5.73E+00,2.95E+02
243,-9.88E+00,3.69E-01,5.81E+00,2.95E+02
244,-1.00E+01,4.40E-01,5.99E+00,2.95E+02
245,-1.00E+01,4.53E-01,6.04E+00,2.95E+02
246,-1.01E+01,4.77E-01,6.15E+00,2.95E+02
247,-1.02E+01,4.98E-01,6.28E+00,2.95E+02
248,-1.03E+01,5.25E-01,6.66E+00,2.95E+02
249,-1.03E+01,5.27E-01,6.76E+00,2.95E+02
250,-3.30E+00,1.12E+01,5.08E+00,2.92E+02
251,-3.31E+00,1.12E+01,5.08E+00,2.92E+02
252,-3.33E+00,1.11E+01,5.08E+00,2.92E+02
253,-3.33E+00,1.11E+01,5.08E+00,2.92E+02
254,-3.34E+00,1.10E+01,5.08E+00,2.93E+02
255,-3.34E+00,1.10E+01,5.08E+00,2.93E+02
256,-3.35E+00,1.09E+01,5.08E+00,2.93E+02
257,-3.37E+00,1.08E+01,5.08E+00,2.93E+02
258,-3.39E+00,1.07E+01,5.08E+00,2.93E+02
259,-3.42E+00,1.05E+01,5.08E+00,2.93E+02
260,-3.49E+00,1.02E+01,5.09E+00,2.93E+02
261,-3.58E+00,9.67E+00,5.10E+00,2.93E+02
262,-3.67E+00,9.26E+00,5.11E+00,2.94E+02
263,-3.76E+00,8.79E+00,5.13E+00,2.94E+02
264,-3.87E+00,8.25E+00,5.16E+00,2.94E+02
265,-4.00E+00,7.67E+00,5.19E+00,2.94E+02
266,-4.15E+00,7.00E+00,5.22E+00,2.94E+02
267,-4.32E+00,6.24E+00,5.26E+00,2.94E+02
268,-4.53E+00,5.33E+00,5.31E+00,2.94E+02
269,-4.67E+00,4.68E+00,5.37E+00,2.94E+02
270,-4.79E+00,4.08E+00,5.44E+00,2.94E+02
271,-4.89E+00,3.49E+00,5.53E+00,2.94E+02
272,-5.02E+00,2.79E+00,5.63E+00,2.94E+02
273,-5.06E+00,2.59E+00,5.64E+00,2.94E+02
274,-5.15E+00,2.23E+00,5.65E+00,2.94E+02
275,-5.24E+00,1.92E+00,5.61E+00,2.94E+02
276,-5.27E+00,1.81E+00,5.58E+00,2.94E+02
277,-5.35E+00,1.63E+00,5.52E+00,2.94E+02
278,-5.48E+00,1.35E+00,5.36E+00,2.94E+02
279,-5.63E+00,1.14E+00,5.19E+00,2.94E+02
280,-5.80E+00,9.73E-01,4.98E+00,2.94E+02
281,-5.92E+00,8.77E-01,4.83E+00,2.94E+02
282,-6.16E+00,7.27E-01,4.56E+00,2.94E+02
283,-6.40E+00,5.86E-01,4.35E+00,2.94E+02
284,-6.45E+00,5.52E-01,4.32E+00,2.94E+02
285,-6.56E+00,4.82E-01,4.26E+00,2.94E+02
